Date,Language,Title,Quote,Reflection Text,Reference
2025-01-01,english,"""I AM A MIRACLE""",The central fact of our lives today is the absolute certainty that our Creator has entered into our hearts and lives in a way which is indeed miraculous. He has commenced to accomplish those things for us which we could never do by ourselves.,"This truly is a fact in my life today, and a real miracle. I always believed in God, but could never put that belief meaningfully into my life. Today, because of Alcoholics Anonymous, I now trust and rely on God, as I understand Him; I am sober today because of that! Learning to trust and rely on God was something I could never have done alone. I now believe in miracles because I am one!","ALCOHOLICS ANONYMOUS, p. 25"
2025-01-01,french,JE SUIS UN MIRACLE,Notre vie est maintenant centrée sur la certitude absolue que le Créateur est entré dans nos cœurs et dans nos vies par miracle. Il a commencé à faire pour nous des choses que nous n’aurions jamais pu réussir par nous-mêmes.,"Un miracle s’est vraiment produit dans ma vie. J’ai toujours cru en Dieu sans jamais pouvoir donner un sens à cette foi. Aujourd’hui, grâce aux Alcooliques anonymes, j’ai foi et confiance en Dieu tel que je le conçois. Si je suis abstinent aujourd’hui, c’est parce que j’ai appris à avoir foi et confiance en Dieu. Seul, je n’y serais jamais parvenu. Je crois aux miracles, car j’en suis un !","LES ALCOOLIQUES ANONYMES, P. 29"
2025-01-01,spanish,“YO SOY UN MILAGRO”,El hecho central en nuestras vidas es actualmente la certeza de que nuestro Creador ha entrado en nuestros corazones y en nuestras vidas en una forma ciertamente milagrosa. Ha empezado a realizar por nosotros cosas que nosotros no podríamos hacer solos.,"Esta es, en verdad, una realidad de mi vida de hoy y un auténtico milagro. Yo siempre creía en Dios, pero nunca pude aplicar significativamente esta creencia en mi vida. Hoy, gracias a Alcohólicos Anónimos, ya confío en Dios y dependo de Él, como yo Lo concibo; ¡hoy, debido a esto, estoy sobrio! Aprender a confiar en Dios y a depender de Dios fue algo que nunca pude haber logrado solo. ¡Ahora creo en milagros porque yo soy un milagro!","ALCOHÓLICOS ANÓNIMOS, p. 25"
2025-01-02,english,"FIRST, THE FOUNDATION","Is sobriety all that we can expect of a spiritual awakening? No, sobriety is only a bare beginning.","Practicing the A.A. program is like building a house. First I had to pour a big, thick concrete slab on which to erect the house; that, to me, was the equivalent of stopping drinking. But it's pretty uncomfortable living on a concrete slab, unprotected and exposed to the heat, cold, wind and rain. So I built a room on the slab by starting to practice the program. The first room was rickety because I wasn't used to the work. But as time passed, as I practiced the program, I learned to build better rooms. The more I practiced, and the more I built, the more comfortable, and happy, was the home I now have to live in.","AS BILL SEES IT, p. 8"
2025-01-02,french,"D’ABORD, LES FONDATIONS","L’abstinence est-elle le seul fruit que nous puissions attendre d’un réveil spirituel ? Non, l’abstinence n’est qu’un simple début.","Mettre le programme des AA en pratique, c’est construire une maison. Il faut d’abord couler un grand carré de béton épais ; c’est ce que j’ai fait en cessant de boire. Mais il n’est pas très confortable de vivre sur un sol de béton, sans protection contre la chaleur, le froid, le vent et la pluie. J’ai donc construit une première pièce en commençant à mettre le programme en pratique. Cette pièce n’était pas très solide car je n’étais pas habitué à ce travail. Mais avec le temps, à force de pratiquer le mode de vie, j’ai appris à construire de meilleures pièces. Plus j’ai progressé, plus le foyer que j’habite aujourd’hui est devenu confortable et heureux.","RÉFLEXIONS DE BILL, P. 8"
2025-01-02,spanish,"PRIMERO, LOS CIMIENTOS","¿Es la sobriedad todo lo que podemos esperar tener de un despertar espiritual? No, la sobriedad no es sino el mero comienzo.","Practicar el programa de A.A. es como construir una casa. Primero tuve que poner una capa grande y gruesa de concreto sobre la cual erigir la casa; para mí, eso correspondió a dejar de beber. Pero es muy incómodo vivir desprotegido en una capa de concreto, expuesto al calor, al frío, al viento y a la lluvia. Así que construí un cuarto sobre la base empezando a practicar el programa. El primer cuarto era un poco tambaleante porque yo no estaba acostumbrado al trabajo. Pero con el paso del tiempo, según iba practicando el programa, aprendí a construir mejores cuartos. Mientras más practicaba y más construía, más confortable y feliz era la casa que tenía, la casa en que vivo ahora.","COMO LO VE BILL, p. 8"
2025-01-03,english,POWERLESS,We admitted we were powerless over alcohol — that our lives had become unmanageable.,"It is no coincidence that the very first Step mentions powerlessness: An admission of personal powerlessness over alcohol is a cornerstone of the foundation of recovery. I've learned that I do not have the power and control I once thought I had. I am powerless over what people think about me. I am powerless over having just missed the bus. I am powerless over how other people work (or don't work) the Steps. But I've also learned I am not powerless over some things. I am not powerless over my attitudes. I am not powerless over negativity. I am not powerless over assuming responsibility for my own recovery. I have the power to exert a positive influence on myself, my loved ones, and the world in which I live.","TWELVE STEPS AND TWELVE TRADITIONS, p. 21"
2025-01-03,french,L’IMPUISSANCE,Nous avons admis que nous étions impuissants devant l’alcool – que nous avions perdu la maîtrise de notre vie.,"La toute première Étape ne mentionne pas l’impuissance par hasard. Admettre son impuissance devant l’alcool, c’est faire le premier pas sur la voie du rétablissement. J’ai appris que je n’ai pas le pouvoir et la maîtrise que j’ai déjà cru posséder. Je ne contrôle ni l’opinion que les gens se font de moi, ni l’autobus que je viens de rater, ni la manière dont les autres mettent (ou ne mettent pas) les Étapes en pratique. Par contre, j’ai aussi appris qu’il y a certaines choses devant lesquelles je ne suis pas impuissant. Je ne suis pas impuissant devant mes attitudes. Je ne suis pas sans pouvoir sur mon esprit négatif. Je ne suis pas impuissant lorsqu’il s’agit d’assumer la responsabilité de mon rétablissement. J’ai le pouvoir d’exercer une influence positive sur moi-même, sur ceux que j’aime et sur le monde dans lequel je vis.","LES DOUZE ÉTAPES ET LES DOUZE TRADITIONS, P. 23"
2025-01-03,spanish,IMPOTENTE,Admitimos que éramos impotentes ante el alcohol; que nuestras vidas se habían vuelto ingobernables.,"No es una mera casualidad que el mismo Primer Paso mencione la impotencia: la admisión de impotencia personal ante el alcohol es la piedra angular de la base para la recuperación. Me he dado cuenta que no tengo el poder y el control que una vez creía tener. Soy impotente ante lo que la gente piense de mí. Soy impotente ante el hecho de haber perdido el tren. Soy impotente respecto a la forma en que otra gente trabaje (o no trabaje) en los Pasos. Pero también me he dado cuenta de que no soy impotente ante otras cosas. No soy impotente ante mis actitudes. No soy impotente ante el negativismo. No soy impotente en cuanto a asumir la responsabilidad de mi propia recuperación. Tengo el poder de ejercer una influencia positiva sobre mí mismo, sobre mis seres queridos y sobre el mundo en el que vivo.","DOCE PASOS Y DOCE TRADICIONES, p. 19"
2025-01-04,english,BEGIN WHERE YOU ARE,"We feel that elimination of our drinking is but a beginning. A much more important demonstration of our principles lies before us in our respective homes, occupations and affairs.","It's usually pretty easy for me to be pleasant to the people in an A.A. setting. While I'm working to stay sober, I'm celebrating with my fellow A.A.s our common release from the hell of drinking. It's often not so hard to spread glad tidings to my old and new friends in the program.","ALCOHOLICS ANONYMOUS, p. 19"
